text,published_on,id,code,username,like_count,reply_count,image_count,videos,url,repost_count,keyword,emotion,language_context
"I’ve carried the thought of ending
longer than I’ve carried peace.
It lingers in my breathing,
a weight that doesn’t cease.

But I’ve never used its shadow
to make another kneel,
never played my breaking
as a weapon they could feel.

When I said I wanted silence,
I meant the noise inside
not to guilt, not to haunt,
just to finally unwind.

So when they use the word suicide
as a leash, as a blade, as proof,
I think of the ones who meant it
the ones who told the truth.",1762835363,3763258243024807051_67114542802,DQ5x271jeSL,caitlinpwurrell.exe,3,0,,,https://www.threads.net/@caitlinpwurrell.exe/post/DQ5x271jeSL,0,suicide,sad,english
"Everyone should see Nuremberg, if only for the scene where Justice Robert H. Jackson (played by Michael Shannon) confronts the Pope over the Church’s wartime silence and the 1933 Reichskonkordat that lent legitimacy to the N*zi regime and trying to stop them from conducting the Nuremberg trials.",1762820282,3763131732422985429_63472427250,DQ5VF9qEobV,late.july,139,0,,,https://www.threads.net/@late.july/post/DQ5VF9qEobV,0,suicide,sad,english
"Quick stop by Tahquamenom Falls on our way to the Shipwreck museum. 

First time going in the “offseason.”",1762795786,3762926248671659308_63073354972,DQ4mXyAEUUs,tjwalz,141,0,,,https://www.threads.net/@tjwalz/post/DQ4mXyAEUUs,0,suicide,sad,english
"Nobody glows better than a woman who didn't get what she wanted, healed from it, and realized God had a much better plan for her all along .",1762795446,3762923399229178449_63371303000,DQ4luUQD4JR,theeashley.b,202,0,,,https://www.threads.net/@theeashley.b/post/DQ4luUQD4JR,0,suicide,sad,english
All I want for Christmas…,1762778837,3762784067989389821_63390662068,DQ4GCx7AcH9,sads_irl8,30,0,,,https://www.threads.net/@sads_irl8/post/DQ4GCx7AcH9,0,suicide,sad,english
"The solution is not to repeat taking your ball and going home, only to return to play after the next game is over.",1762798640,3762950193960563706_63098006305,DQ4r0OygbP6,andrewgatto,15,0,,,https://www.threads.net/@andrewgatto/post/DQ4r0OygbP6,0,suicide,sad,english
"Democrats were overwhelmingly united on their shutdown demands.

Americans understood that Trump and Republicans were to blame.

Voters made it known last Tuesday that they'll elect leaders who stand up to Trump.

Democrats held the cards — and folded for no reason.",1762793402,3762906128427032966_63302668092,DQ4hy_kCKGG,rbreich,18333,0,,,https://www.threads.net/@rbreich/post/DQ4hy_kCKGG,0,suicide,sad,english
"All those book marketing spam emails are like: 
“Hey Author! Your book is amazing, and here are some generic elements that describe it. You rock. Unfortunately nobody gives a fuck about your work and that’s really embarrassing for you”",1762789197,3762870975982594425_63397478070,DQ4ZzdTEel5,mk_lobb,106,0,,,https://www.threads.net/@mk_lobb/post/DQ4ZzdTEel5,0,suicide,sad,english
"Lionel Messi paid a visit to the soon to be completed new Spotify Camp Nou 🥹🏡

He's even made it clear he wants to come back and say a proper goodbye... over to you, Mr. Laporta 🥲🙏",1762771393,3762721624366548402_63088451965,DQ332GxDIWy,onefootball,600,0,,,https://www.threads.net/@onefootball/post/DQ332GxDIWy,0,suicide,sad,english
The fact that none of the 8 Dems are up for re-election in 2026 is a pretty good sign @senschumer engineered the surrender,1762745393,3762503520223011637_63095843678,DQ3GQRdDKM1,thetnholler,3797,0,,,https://www.threads.net/@thetnholler/post/DQ3GQRdDKM1,0,suicide,sad,english
